INST.,OPT1,OPT2,OPT3,MIR1,TMIR1,MIR2,TMIR2,MIR3,TMIR3,LAGR1,TLAGR1,LAGR2,TLAGR2,LAGR3,TLAGR3,BB1,TBB1,BB2,TBB2,BB3,TBB3,,ILS1,TILS1,ILS2,TILS2,ILS3,TILS3
c01,3398.64,3150.06,2915.66,3458,1,3175,2,3025,3,3458,1,3175,2,3025,3,3422,2,3163,3,2978,6,,3472,0.27,3216,1.37,3050,0.99
c02,3262.19,3014.7,2846.89,3311,1,3050,3,2871,4,331,1,3050,3,2871,4,3283,5,3029,4,2855,5,,3322,4.32,3097,10.49,2913,2.29
c03,3285.63,3022.86,2818.89,3326,1,3047,2,2903,4,3326,1,3047,2,2903,4,3299,15,3034,7,2854,7,,3337,0.19,3100,0.24,2927,0.1
c04,3324.89,3070.19,2901.62,3363,1,3105,3,2923,3,3363,1,3105,3,2923,3,3337,9,3085,8,2910,11,,3374,0.8,3144,0.59,2972,1.74
c05,3301.21,3052.48,2879.79,3341,0,3086,2,2903,4,3341,0,3086,2,2903,4,3315,6,3068,6,2887,5,,3345,6.02,3113,6.85,2946,8.47
c06,2504.57,2301.03,2153.07,2564,1,2346,3,2211,4,2564,1,2346,3,2211,4,2534,32,2318,15,2172,15,,2586,0.28,2407,0.22,2261,0.3
c07,2504.9,2304.53,2160.66,2562,0,2352,2,2219,4,2562,0,2352,2,2219,4,2532,30,2323,17,2179,14,,2586,1.22,2412,4.45,2274,0.74
c08,2432.91,2231.34,2075.24,2496,1,2280,2,2146,4,2496,1,2280,2,2146,4,2461,25,2247,18,2105,13,,2497,0.93,2332,1.56,2213,0.19
c09,2393.15,2190.15,2054.98,2443,1,2234,3,2084,3,2443,1,2234,3,2084,3,2415,37,2208,24,2069,30,,2444,1.26,2295,3.53,2161,0.41
c10,2438.94,2233.3,2103.34,2494,1,2295,2,2129,4,2494,1,2295,2,2129,4,2463,22,2258,18,2116,24,,2523,0.26,2354,0.25,2218,0.25
c11,1482.63,1206.66,1219.14,1533,1,1396,3,1246,6,1533,1,1396,3,1246,6,1509,102,1351,255,1237,248,,1560,0.63,1419,0.47,1312,0.4
c12,1534.84,1367.16,895.87,1587,1,1416,2,1317,4,1587,1,1416,2,1317,4,1553,27,1386,48,1271,56,,1616,0.68,1467,0.56,1362,0.48
c13,1508.61,1330.33,1232.35,1548,1,1402,3,1260,5,1548,1,1402,3,1260,5,1524,17,1364,412,1248,786,,1561,1.09,1434,1.12,1333,0.45
c14,1480.5,1320.82,1226.31,1563,1,1418,2,1260,4,1563,1,1418,2,1260,4,1530,50,1367,39,1241,92,,1580,0.51,1449,0.47,1340,0.44
c15,1455.54,1307.05,1093.69,1562,0,1414,3,1295,4,1562,0,1414,3,1295,4,1529,22,1366,36,1249,26,,1561,1.29,1442,0.53,1320,0.4
c16,878.15,798.12,738.55,978,2,832,3,764,7,978,2,832,3,764,7,953,1800,817,1800,739,60,,983,1.12,848,1.37,775,1.08
c17,888.67,790.19,735.72,971,2,831,5,755,6,971,2,831,5,755,6,944,1800,814,1800,745,49,,993,1.26,845,1.14,768,0.9
